Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
123,599,400,24,0,4,12000,0,0,123,599,400,20,0,4,12000,0,0
124,599,400,24,0,4,12000,0,0,124,599,400,20,0,4,12000,0,0
125,599,400,24,0,4,12000,0,0,125,599,400,20,0,4,12000,0,0
126,599,400,24,0,4,12000,0,0,126,599,400,20,0,4,12000,0,0
127,599,400,24,0,4,12000,0,0,127,599,400,20,0,4,12000,0,0
128,599,400,24,0,4,12000,0,0,128,599,400,20,0,4,12000,0,0
129,599,400,24,0,4,12000,0,0,129,599,400,20,0,4,12000,0,0
130,599,400,24,0,4,12000,0,0,130,599,400,20,0,4,12000,0,0
131,599,400,24,0,4,12000,0,0,131,599,400,20,0,4,12000,0,0
132,599,400,24,0,4,12000,0,0,132,599,400,20,0,4,12000,0,0
133,599,400,24,0,4,12000,0,0,133,599,400,20,0,4,12000,0,0
134,599,400,24,0,4,12000,0,0,134,599,400,20,0,4,12000,0,0
135,599,400,24,0,4,12000,0,0,135,599,400,20,0,4,12000,0,0
136,599,400,24,0,4,12000,0,0,136,599,400,20,0,4,12000,0,0
137,616,400,24,0,4,12000,0,0,137,616,400,20,0,4,12000,0,0
138,616,400,24,0,4,12000,0,0,138,616,400,20,0,4,12000,0,0
139,616,400,24,0,4,12000,0,0,139,616,400,20,0,4,12000,0,0
140,616,400,24,0,4,12000,0,0,140,616,400,20,0,4,12000,0,0
140,616,400,24,0,4,12000,0,0,140,616,400,20,0,4,12000,0,0
141,616,400,24,0,4,12000,0,0,141,616,400,20,0,4,12000,0,0
142,616,400,24,0,4,12000,0,0,142,616,400,20,0,4,12000,0,0
143,616,400,24,0,4,12000,0,0,143,616,400,20,0,4,12000,0,0
144,616,400,24,0,4,12000,0,0,144,616,400,20,0,4,12000,0,0
145,616,400,24,0,4,12000,0,0,145,616,400,20,0,4,12000,0,0
146,616,400,24,0,4,12000,0,0,146,616,400,20,0,4,12000,0,0
147,679,500,28,0,4,12000,0,0,147,679,400,20,0,4,12000,0,0
148,679,500,28,0,4,12000,0,0,148,679,400,20,0,4,12000,0,0
149,679,500,28,0,4,12000,0,0,149,679,400,20,0,4,12000,0,0
150,679,500,28,0,4,12000,0,0,150,679,400,20,0,4,12000,0,0
151,679,500,28,0,4,12000,0,0,151,679,400,20,0,4,12000,0,0
152,679,500,28,0,4,12000,0,0,152,679,400,20,0,4,12000,0,0
153,679,500,28,0,4,12000,0,0,153,679,400,20,0,4,12000,0,0
154,679,500,28,0,4,12000,0,0,154,679,400,20,0,4,12000,0,0
155,679,500,28,0,4,12000,0,0,155,679,400,20,0,4,12000,0,0
156,679,500,28,0,4,12000,0,0,156,679,400,20,0,4,12000,0,0
157,741,500,28,0,4,12000,0,0,157,741,400,20,0,4,12000,0,0
158,741,500,28,0,4,12000,0,0,158,741,400,20,0,4,12000,0,0
159,741,500,28,0,4,12000,0,0,159,741,400,20,0,4,12000,0,0
160,741,500,28,0,4,12000,0,0,160,741,400,20,0,4,12000,0,0
160,741,500,28,0,4,12000,0,0,160,741,400,20,0,4,12000,0,0
161,741,500,28,0,4,12000,0,0,161,741,400,20,0,4,12000,0,0
162,741,500,28,0,4,12000,0,0,162,741,400,20,0,4,12000,0,0
163,741,500,28,0,4,12000,0,0,163,741,400,20,0,4,12000,0,0
164,741,500,28,0,4,12000,0,0,164,741,400,20,0,4,12000,0,0
165,741,500,28,0,4,12000,0,0,165,741,400,20,0,4,12000,0,0
166,741,500,28,0,4,12000,0,0,166,741,400,20,0,4,12000,0,0
167,741,500,28,0,4,12000,0,0,167,741,400,20,0,4,12000,0,0
168,741,500,28,0,4,12000,0,0,168,741,400,20,0,4,12000,0,0
169,741,500,28,0,4,12000,0,0,169,741,400,20,0,4,12000,0,0
170,741,500,28,0,4,12000,0,0,170,741,400,20,0,4,12000,0,0
171,741,500,28,0,4,12000,0,0,171,741,400,20,0,4,12000,0,0
172,775,500,28,0,4,12000,0,0,172,775,400,20,0,4,12000,0,0
173,775,500,28,0,4,12000,0,0,173,775,400,20,0,4,12000,0,0
174,775,500,28,0,4,12000,0,0,174,775,400,20,0,4,12000,0,0
175,775,500,28,0,4,12000,0,0,175,775,400,20,0,4,12000,0,0
176,775,500,28,0,4,12000,0,0,176,775,400,20,0,4,12000,0,0
177,775,500,28,0,4,12000,0,0,177,775,400,20,0,4,12000,0,0
178,775,500,28,0,4,12000,0,0,178,775,400,20,0,4,12000,0,0
179,775,500,28,0,4,12000,0,0,179,775,400,20,0,4,12000,0,0
180,775,500,28,0,4,12000,0,0,180,775,400,20,0,4,12000,0,0
180,867,500,28,0,4,12000,0,0,180,867,600,24,0,4,12000,0,0
181,867,500,28,0,4,12000,0,0,181,867,600,24,0,4,12000,0,0
182,867,500,28,0,4,12000,0,0,182,867,600,24,0,4,12000,0,0
183,867,500,28,0,4,12000,0,0,183,867,600,24,0,4,12000,0,0
184,867,500,28,0,4,12000,0,0,184,867,600,24,0,4,12000,0,0
185,867,500,28,0,4,12000,0,1,185,867,600,24,0,4,12000,0,0
186,867,500,28,0,4,12000,0,1,186,867,600,24,0,4,12000,0,0
187,867,500,28,0,4,12000,0,1,187,867,600,24,0,4,12000,0,0
188,867,500,28,0,4,12000,0,2,188,867,600,24,0,4,12000,0,0
189,867,500,28,0,4,12000,0,2,189,867,600,24,0,4,12000,0,0
190,867,500,28,0,4,12000,0,2,190,867,600,24,0,4,12000,0,0
191,867,500,28,0,4,12000,0,2,191,867,600,24,0,4,12000,0,0
192,867,500,28,0,4,12000,0,3,192,867,600,24,0,4,12000,0,0
193,867,500,28,0,4,12000,0,4,193,867,600,24,0,4,12000,0,0
194,867,500,28,0,4,12000,0,5,194,867,600,24,0,4,12000,0,0
195,929,700,32,0,4,12000,0,5,195,929,600,24,0,4,12000,0,0
196,929,700,32,0,4,12000,0,5,196,929,600,24,0,4,12000,0,0
197,929,700,32,0,4,12000,0,6,197,929,600,24,0,4,12000,0,0
198,929,700,32,0,4,12000,0,6,198,929,600,24,0,4,12000,0,0
199,929,700,32,0,4,12000,0,6,199,929,600,24,0,4,12000,0,0
200,929,700,32,0,4,12000,0,7,200,929,600,24,0,4,12000,0,0
200,929,700,32,0,4,12000,0,7,200,929,600,24,0,4,12000,0,0
201,929,700,32,0,4,12000,0,7,201,929,600,24,0,4,12000,0,0
202,929,700,32,0,4,12000,0,7,202,929,600,24,0,4,12000,0,0
203,929,700,32,0,4,12000,0,7,203,929,600,24,0,4,12000,0,0
204,929,700,32,0,4,12000,0,7,204,929,600,24,0,4,12000,0,0
205,929,700,32,0,4,12000,0,7,205,929,600,24,0,4,12000,0,0
206,929,700,32,0,4,12000,0,7,206,929,600,24,0,4,12000,0,0
207,1025,700,32,0,4,12000,0,7,207,1025,800,28,0,4,12000,0,0
208,1025,700,32,0,4,12000,0,7,208,1025,800,28,0,4,12000,0,0
209,1025,700,32,0,4,12000,0,7,209,1025,800,28,0,4,12000,0,0
210,1025,700,32,0,4,12000,0,7,210,1025,800,28,0,4,12000,0,0
211,1025,700,32,0,4,12000,0,8,211,1025,800,28,0,4,12000,0,0
212,1025,700,32,0,4,12000,0,8,212,1025,800,28,0,4,12000,0,0
213,1025,700,32,0,4,12000,0,8,213,1025,800,28,0,4,12000,0,0
214,1025,700,32,0,4,12000,0,8,214,1025,800,28,0,4,12000,0,0
215,1025,700,32,0,4,12000,0,8,215,1025,800,28,0,4,12000,0,0
216,1025,700,32,0,4,12000,0,8,216,1025,800,28,0,4,12000,0,0
217,1025,700,32,0,4,12000,0,8,217,1025,800,28,0,4,12000,0,0
218,1025,700,32,0,4,12000,0,8,218,1025,800,28,0,4,12000,0,0
219,1114,900,36,0,4,12000,0,8,219,1114,800,28,0,4,12000,0,0
220,1114,900,36,0,4,12000,0,8,220,1114,800,28,0,4,12000,0,0
220,1114,900,36,0,4,12000,10,8,220,1114,800,28,0,4,12000,10,0
221,1114,900,36,0,4,12000,10,8,221,1114,800,28,0,4,12000,10,0
222,1114,900,36,0,4,12000,20,8,222,1114,800,28,0,4,12000,40,0
223,1114,900,36,0,4,12000,30,8,223,1114,800,28,0,4,12000,70,0
